index,train/loss,test/top1,test/loss,info/processed_count
1,0.4391092137825489,0.918,0.24561428352594375,50000
2,0.14466391235649587,0.9277,0.2165082667052746,100000
3,0.07874437898397446,0.9384,0.2040818486392498,150000
4,0.05369175159215927,0.9287,0.2549936888933182,200000
5,0.04479218790814281,0.931,0.2476597915828228,250000
6,0.034300215708129106,0.9398,0.21223502853810788,300000
7,0.029658261976093055,0.9361,0.24796327316761016,350000
8,0.02803644464502111,0.9396,0.22924615672081708,400000
9,0.02731283270407468,0.9415,0.21926865011155605,450000
10,0.027687737886924295,0.9387,0.23982579341232776,500000
